"","preferred_animal","animal","subject_id","trial","happiness"
"124","Cats","hedgehog","63","trial_2",6.5
"125","Cats","cat","64","trial_1",6
"126","Cats","cat","64","trial_2",6.4
"127","Cats","cat","65","trial_1",7
"128","Cats","cat","65","trial_2",7.2
"129","Cats","hedgehog","66","trial_1",7.5
"130","Cats","hedgehog","66","trial_2",7.5
"131","Hedgehogs","hedgehog","67","trial_1",6.1
"132","Hedgehogs","hedgehog","67","trial_2",7.1
"133","Cats","cat","68","trial_1",9
"134","Cats","cat","68","trial_2",9.1
"135","Cats","hedgehog","69","trial_1",6.3
"136","Cats","hedgehog","69","trial_2",8.2
"137","Cats","cat","70","trial_1",7
"138","Cats","cat","70","trial_2",7.1
"139","Cats","hedgehog","71","trial_1",2.5
"140","Cats","hedgehog","71","trial_2",3.5
"141","Cats","cat","72","trial_1",3.5
"142","Cats","cat","72","trial_2",5.6
"143","Cats","hedgehog","73","trial_1",7
"144","Cats","hedgehog","73","trial_2",7
"145","Cats","cat","74","trial_1",9
"146","Cats","cat","74","trial_2",9.1
"147","Hedgehogs","cat","75","trial_1",10
"148","Hedgehogs","cat","75","trial_2",10
"149","Cats","hedgehog","76","trial_1",8.3
"150","Cats","hedgehog","76","trial_2",8.3
"151","Cats","cat","77","trial_1",3
"152","Cats","cat","77","trial_2",4.1
"153","Hedgehogs","hedgehog","78","trial_1",3.5
"154","Hedgehogs","hedgehog","78","trial_2",5.5
"155","Hedgehogs","hedgehog","79","trial_1",8
"156","Hedgehogs","hedgehog","79","trial_2",8.3
"157","Cats","cat","80","trial_1",9
"158","Cats","cat","80","trial_2",9
"159","Hedgehogs","cat","81","trial_1",4.5
"160","Hedgehogs","cat","81","trial_2",5
"161","Cats","hedgehog","82","trial_1",5
"162","Cats","hedgehog","82","trial_2",10
"163","Cats","hedgehog","83","trial_1",7
"164","Cats","hedgehog","83","trial_2",7.2
"165","Cats","cat","84","trial_1",7.5
"166","Cats","cat","84","trial_2",7.5
"167","Cats","cat","85","trial_1",6.4
"168","Cats","cat","85","trial_2",7.1
"169","Hedgehogs","hedgehog","86","trial_1",9.1
